Gruppe,Undergruppe,Tittel,Modell,Lenke
Datamaskiner,Bærbar,Verksted PC,"Lenovo L14 (14"")",https://shop.vodacom.no/lenovo-ts-tp-l14-g7-u7-355/cat-p/c36159/p1006822728
Datamaskiner,Bærbar,Verksted PC,"Lenovo L16 (16"")",https://shop.vodacom.no/lenovo-l16-g3-16in-wuxga/cat-p/c36159/p1006822727
Datamaskiner,Bærbar,Kontor PC,"Lenovo ThinkPad T14 (14"")",https://shop.vodacom.no/lenovo-thinkpad-t14-g7-intel/cat-p/c36159/p1006571261
Datamaskiner,Bærbar,Kontor PC,"Lenovo ThinkPad T16 (16"")",https://shop.vodacom.no/lenovo-ts-tp-t16-g5-u5-325/cat-p/c36159/p1006571262
Datamaskiner,Bærbar,Ultra Portabel,Lenovo X1 Carbon,https://shop.vodacom.no/lenovo-nb-x1-carbon-g13/cat-p/c36159/p1006436702
Datamaskiner,Stasjonær,Kontor PC,Lenovo M70q,https://shop.vodacom.no/lenovo-ts-tc-m70q-g6-u7-265t/cat-p/c36161/p1006254157
Datamaskiner,Stasjonær,Kontor PC+,Lenovo M90q,https://shop.vodacom.no/lenovo-ts-tc-m90q-g6-u7-265t/cat-p/c36161/p1006078386
Skjermer,,"Stor 49"" Buet",Lenovo ThinkVision P40w-20,https://shop.vodacom.no/lenovo-p49w-30-49inch-ips-5120x1440/cat-p/c36167/p1003834080
Skjermer,,"Stor 34"" Buet",Lenovo ThinkVision T34w-30,https://shop.vodacom.no/lenovo-thinkvision-t34wd-40-34inch-3440x1440/cat-p/c36167/p1005937380
Skjermer,,"Stor 32"" Flat",Lenovo ThinkVision T32P-30,https://shop.vodacom.no/lenovo-t32ud-40-315in-3840x2160-169/cat-p/c36167/p1005942259
Skjermer,,"27"" m/docking",Lenovo ThinkVision T27h-30,https://shop.vodacom.no/lenovo-ts-t27qd-40-27-2560x1440/cat-p/c36167/p1005942252
Skjermer,,"27"" Enkel",Lenovo ThinkVision TS/T27q,https://shop.vodacom.no/lenovo-ts-t27q-40-27-2560x1440/cat-p/c36167/p1005942255
Ekstrautstyr,,Mus og Keyboard,Lenovo Professional Kombo,https://shop.vodacom.no/lenovo-kb-mice-bo-slim-combo/cat-p/c36140/p1006203681
Ekstrautstyr,,Docking,Lenovo ThinkPad Hybrid,https://shop.vodacom.no/lenovo-thinkpad-hybrid-usb-a-c/cat-p/c/p10017033
Ekstrautstyr,,Headsett,Epos Impact 1061T,https://shop.vodacom.no/epos-impact-1061t-ancs/cat-p/c/p1003783171
Ekstrautstyr,,WWAN Modul,SIM Kort,https://shop.vodacom.no/lenovo-thinkpad-rolling-wireless-rw101r-gl/cat-p/c/p1006796494
Veske / Sekk,,Ryggsekk,Lenovo Pro Backpack Gen 2,https://shop.vodacom.no/lenovo-thinkpad-professional-16inch-backpack/cat-p/c/p1004179132
Veske / Sekk,,"14"" Dataveske","Lenovo Pro 14"" Topload Gen 2",https://shop.vodacom.no/lenovo-thinkpad-professional-14inch-topload/cat-p/c/p1004179134
Veske / Sekk,,"16"" Dataveske","Lenovo Pro 16"" Topload Gen 2",https://shop.vodacom.no/lenovo-thinkpad-professional-16inch-topload/cat-p/c/p1004179133
