Merke,Modell,Kapasitet,Farge,Fargekode,Lenke,Bilde
Samsung,Galaxy S26,256GB,Black,#2C2C2E,https://shop.vodacom.no/samsung-galaxy-s26-12gb-256gb/cat-p/c/p1006442059,Samsung-Galaxy-S26.webp
Samsung,Galaxy S26,256GB,White,#F4F4F4,https://shop.vodacom.no/samsung-galaxy-s26-12gb-256gb/cat-p/c/p1006442056,Samsung-Galaxy-S26.webp
Samsung,Galaxy S26,256GB,Sky Blue,#C9E4F2,https://shop.vodacom.no/samsung-galaxy-s26-12gb-256gb/cat-p/c/p1006442058,Samsung-Galaxy-S26.webp
Samsung,Galaxy S26,256GB,Cobalt Violet,#4B3E6E,https://shop.vodacom.no/samsung-galaxy-s26-12gb-256gb/cat-p/c/p1006442054,Samsung-Galaxy-S26.webp
Samsung,Galaxy S26,512GB,Black,#2C2C2E,https://shop.vodacom.no/samsung-galaxy-s26-12gb-512gb/cat-p/c/p1006442046,Samsung-Galaxy-S26.webp
Samsung,Galaxy S26,512GB,White,#F4F4F4,https://shop.vodacom.no/samsung-galaxy-s26-12gb-512gb/cat-p/c/p1006442066,Samsung-Galaxy-S26.webp
Samsung,Galaxy S26,512GB,Sky Blue,#C9E4F2,https://shop.vodacom.no/samsung-galaxy-s26-12gb-512gb/cat-p/c/p1006442060,Samsung-Galaxy-S26.webp
Samsung,Galaxy S26,512GB,Cobalt Violet,#4B3E6E,https://shop.vodacom.no/samsung-galaxy-s26-12gb-512gb/cat-p/c/p1006442050,Samsung-Galaxy-S26.webp
Samsung,Galaxy S26+,256GB,Black,#2C2C2E,https://shop.vodacom.no/samsung-galaxy-s26-12gb-256gb/cat-p/c/p1006442047,Samsung-Galaxy-S26.webp
Samsung,Galaxy S26+,256GB,White,#F4F4F4,https://shop.vodacom.no/samsung-galaxy-s26-12gb-256gb/cat-p/c/p1006442070,Samsung-Galaxy-S26.webp
Samsung,Galaxy S26+,256GB,Sky Blue,#C9E4F2,https://shop.vodacom.no/samsung-galaxy-s26-12gb-256gb/cat-p/c/p1006442064,Samsung-Galaxy-S26.webp
Samsung,Galaxy S26+,256GB,Cobalt Violet,#4B3E6E,https://shop.vodacom.no/samsung-galaxy-s26-12gb-256gb/cat-p/c/p1006442049,Samsung-Galaxy-S26.webp
Samsung,Galaxy S26+,512GB,Black,#2C2C2E,https://shop.vodacom.no/samsung-galaxy-s26-12gb-512gb/cat-p/c/p1006442052,Samsung-Galaxy-S26.webp
Samsung,Galaxy S26+,512GB,White,#F4F4F4,https://shop.vodacom.no/samsung-galaxy-s26-12gb-512gb/cat-p/c/p1006442071,Samsung-Galaxy-S26.webp
Samsung,Galaxy S26+,512GB,Sky Blue,#C9E4F2,https://shop.vodacom.no/samsung-galaxy-s26-12gb-512gb/cat-p/c/p1006442065,Samsung-Galaxy-S26.webp
Samsung,Galaxy S26+,512GB,Cobalt Violet,#4B3E6E,https://shop.vodacom.no/samsung-galaxy-s26-12gb-512gb/cat-p/c/p1006442063,Samsung-Galaxy-S26.webp
Samsung,Galaxy S26 Ultra,256GB,Black,#2C2C2E,https://shop.vodacom.no/samsung-galaxy-s26-ultra-12gb/cat-p/c/p1006442067,Samsung-Galaxy-S26-Ultra.webp
Samsung,Galaxy S26 Ultra,256GB,White,#F4F4F4,https://shop.vodacom.no/samsung-galaxy-s26-ultra-12gb/cat-p/c/p1006442069,Samsung-Galaxy-S26-Ultra.webp
Samsung,Galaxy S26 Ultra,256GB,Sky Blue,#C9E4F2,https://shop.vodacom.no/samsung-galaxy-s26-ultra-12gb/cat-p/c/p1006442053,Samsung-Galaxy-S26-Ultra.webp
Samsung,Galaxy S26 Ultra,256GB,Cobalt Violet,#4B3E6E,https://shop.vodacom.no/samsung-galaxy-s26-ultra-12gb/cat-p/c/p1006442062,Samsung-Galaxy-S26-Ultra.webp
Samsung,Galaxy S26 Ultra,512GB,Black,#2C2C2E,https://shop.vodacom.no/samsung-galaxy-s26-ultra-12gb/cat-p/c/p1006442057,Samsung-Galaxy-S26-Ultra.webp
Samsung,Galaxy S26 Ultra,512GB,White,#F4F4F4,https://shop.vodacom.no/samsung-galaxy-s26-ultra-12gb/cat-p/c/p1006442073,Samsung-Galaxy-S26-Ultra.webp
Samsung,Galaxy S26 Ultra,512GB,Sky Blue,#C9E4F2,https://shop.vodacom.no/samsung-galaxy-s26-ultra-12gb/cat-p/c/p1006442051,Samsung-Galaxy-S26-Ultra.webp
Samsung,Galaxy S26 Ultra,512GB,Cobalt Violet,#4B3E6E,https://shop.vodacom.no/samsung-galaxy-s26-ultra-12gb/cat-p/c/p1006442055,Samsung-Galaxy-S26-Ultra.webp
Samsung,Galaxy S26 Ultra,1 TB,Black,#2C2C2E,https://shop.vodacom.no/samsung-galaxy-s26-ultra-16gb/cat-p/c/p1006442048,Samsung-Galaxy-S26-Ultra.webp
Samsung,Galaxy S26 Ultra,1 TB,White,#F4F4F4,https://shop.vodacom.no/samsung-galaxy-s26-ultra-16gb/cat-p/c/p1006442061,Samsung-Galaxy-S26-Ultra.webp
Samsung,Galaxy S26 Ultra,1 TB,Sky Blue,#C9E4F2,https://shop.vodacom.no/samsung-galaxy-s26-ultra-16gb/cat-p/c/p1006442068,Samsung-Galaxy-S26-Ultra.webp
Samsung,Galaxy S26 Ultra,1 TB,Cobalt Violet,#4B3E6E,https://shop.vodacom.no/samsung-galaxy-s26-ultra-16gb/cat-p/c/p1006442072,Samsung-Galaxy-S26-Ultra.webp
iPhone,iPhone 17,256GB,Black,#2E2E30,https://shop.vodacom.no/apple-iphone-17-5g-smartphone/cat-p/c36176/p1006231647,iPhone-17.webp
iPhone,iPhone 17,256GB,White,#F5F5F0,https://shop.vodacom.no/apple-iphone-17-5g-smartphone/cat-p/c36176/p1006231646,iPhone-17.webp
iPhone,iPhone 17,256GB,Sage,#A9B79C,https://shop.vodacom.no/apple-iphone-17-5g-smartphone/cat-p/c36176/p1006231658,iPhone-17.webp
iPhone,iPhone 17,256GB,Mist Blue,#AFC6DE,https://shop.vodacom.no/apple-iphone-17-5g-smartphone/cat-p/c36176/p1006231649,iPhone-17.webp
iPhone,iPhone 17,256GB,Lavender,#E2D5EA,https://shop.vodacom.no/apple-iphone-17-5g-smartphone/cat-p/c36176/p1006231648,iPhone-17.webp
iPhone,iPhone 17,512GB,Black,#2E2E30,https://shop.vodacom.no/apple-iphone-17-5g-smartphone/cat-p/c36176/p1006231656,iPhone-17.webp
iPhone,iPhone 17,512GB,White,#F5F5F0,https://shop.vodacom.no/apple-iphone-17-5g-smartphone/cat-p/c36176/p1006231654,iPhone-17.webp
iPhone,iPhone 17,512GB,Sage,#A9B79C,https://shop.vodacom.no/apple-iphone-17-5g-smartphone/cat-p/c36176/p1006231678,iPhone-17.webp
iPhone,iPhone 17,512GB,Mist Blue,#AFC6DE,https://shop.vodacom.no/apple-iphone-17-5g-smartphone/cat-p/c36176/p1006231653,iPhone-17.webp
